N	51.8491	-8.29956	P522	14 Feb 2026	P522\nCobh to Cork\nExpected Departure 15:00	To Cork
N	51.9018	-8.4582	D524	14 Feb 2026	D524\nCork to Cobh\nExpected Departure 15:00	To Cobh
N	52.271	-9.69846	A311	14 Feb 2026	A311\nTralee to Mallow\nExpected Departure 15:05	To Mallow
N	52.6587	-8.62397	A439	14 Feb 2026	A439\nLimerick to Limerick Junction\nExpected Departure 14:55	To Limerick Junction
N	53.2043	-6.10046	E818	14 Feb 2026	E818\nBray to Malahide\nExpected Departure 15:12	Northbound
N	53.2736	-9.04696	A721	14 Feb 2026	A721\nGalway to Dublin Heuston\nExpected Departure 15:05	To Dublin Heuston
N	53.3464	-6.29461	A518	14 Feb 2026	A518\nDublin Heuston to Waterford\nExpected Departure 15:10	To Waterford
N	53.3531	-6.24591	A908	14 Feb 2026	A908\nDublin Connolly to Sligo\nExpected Departure 15:05	Northbound
N	53.378	-6.58993	P757	14 Feb 2026	P757\nMaynooth to Dublin Connolly\nExpected Departure 15:08	Southbound
N	53.4509	-6.15649	E225	14 Feb 2026	E225\nMalahide to Bray\nExpected Departure 15:03	Southbound
N	53.712	-6.33538	P719	14 Feb 2026	P719\nDrogheda to Dublin Connolly\nExpected Departure 15:05	Southbound
N	54.0887	-8.52088	B911	14 Feb 2026	B911\nBallymote to Boyle\nExpected Departure 15:07	To Boyle
N	54.1085	-9.16146	A869	14 Feb 2026	A869\nBallina to Manulla Junction\nExpected Departure 15:05	To Manulla Junction
N	54.2723	-8.48249	A911	14 Feb 2026	A911\nSligo to Dublin Connolly\nExpected Departure 15:05	Southbound
N	54.6123	-5.91744	A119	14 Feb 2026	A119\nBelfast to Dublin Connolly\nExpected Departure 15:00	Southbound
R	0	0	A217	14 Feb 2026	A217\n13:25 - Cork to Dublin Heuston (-3 mins late)\nDeparted PL101 next stop Portlaoise	To Dublin Heuston
